,train,val,test
0,2460399-B2,2460239-B2,2460242-B2
1,2460404-B3,2460628-B2,2460405-B2
2,2460591-B2,2460641-B2,2460643-B
3,2460602-B,2460960-B,2460770-B2
4,2460753-B2,2461671-B2,2460974-B2
5,2460949-B3,2461677-B2,2461487-B2
6,2461002-B2,2461700-B2,2461672-B2
7,2461698-B,2462478-B2,2462290-B2
8,2461703-B3,2462598-B,2462483-B
9,2461718-B3,2462637-B2,2462830-B4
10,2461755-B3,2463127-B3,2463370-B2
11,2461836-B2,2463647-B2,2463379-B4
12,2461857-B2,2463656-B2,2463720-B7
13,2461861-B2,2464548-B,2464443-B
14,2462123-B2,2465243-B2,2464812-B3
15,2462170-B4,2465396-B2,2465202-B3
16,2462293-B3,2465397-B,2465625-B
17,2462614-B3,2465568-B2,2465661-B2
18,2462830-B2,2465608-B2,2465843-B2
19,2462840-B5,2466264-B2,2466891-B2
20,2462885-B2,2466923-B2,2468325-B
21,2462920-B3,2468673-B2,2469005-B2
22,2462921-B,2468796-B3,2469007-B2
23,2462987-B2,2469004-B2,2469023-B2
24,2463126-B2,2469029-B2,2469047-B2
25,2463135-B,2469033-B2,2469074-B2
26,2463187-B2,2469496-B,2469230-B
27,2463351-B4,2469569-B2,2469256-B2
28,2463404-B2,2469849-B2,2469693-B
29,2463643-B,2469927-B2,2469963-B2
30,2464404-B5,2471237-B2,2470270-B2
31,2464438-B5,2471452-B2,2470657-B3
32,2464690-B2,2471884-B2,2471442-B3
33,2464817-B,2471957-B,2471595-B3
34,2464879-B2,2471959-B2,2471618-B3
35,2464929-B,2471963-B,2471885-B2
36,2464943-B2,2473212-B4,2471921-B2
37,2465263-B2,2473218-B3,2472316-B7
38,2465339-B2,2473534-B2,2472453-B2
39,2465367-B3,2473549-B,2473266-B
40,2465636-B,2473621-B3,2473366-B2
41,2465639-B2,2474150-B3,2473600-B3
42,2465643-B3,2474291-B2,2473608-B2
43,2465795-B4,2474337-B3,2473738-B3
44,2465827-B5,2474638-B3,2474140-B3
45,2465989-B2,2474739-B2,2474189-B7
46,2466152-B2,2475011-B2,2476391-B2
47,2466159-B2,2475022-B,2477039-B
48,2466285-B,2475126-B2,2477053-B3
49,2466580-B5,2475349-B2,2477189-B2
50,2466581-B1,2476252-B2,2477668-B3
51,2466581-B2,2477189-B3,2478091-B4
52,2466584-B,2477541-B2,2481703-B2
53,2466703-B4,2477809-B3,2482055-B2
54,2466718-B,2477949-B2,2482607-B
55,2466866-B,2477977-B3,2482886-B2
56,2466881-B2,2482056-B4,2482957-B2
57,2466884-B2,2482896-B2,2482964-B2
58,2466893-B2,2482969-B,2483215-B6
59,2466898-B2,2483211-B2,2483768-B4
60,2466899-B2,2483846-B,2485259-B6
61,2468105-B2,2483961-B3,2486100-B
