slide_id,fold,split,label,pred,correct,prob_class_0,prob_class_1,final_logit_class_0,final_logit_class_1,pred_margin,low_logit_class_0,low_logit_class_1,high_logit_class_0,high_logit_class_1,visual_logit_class_0,visual_logit_class_1,visual_alpha,csg_logit_class_0,csg_logit_class_1,csg_alpha,top_csg_pair_class_0,top_csg_pair_class_1,top_csg_pair_score_class_0,top_csg_pair_score_class_1,top_low_region_idx_for_pred,top_high_region_idx_for_pred,top_low_region_score_for_pred,top_high_region_score_for_pred,top_low_region_x,top_low_region_y,top_high_region_x,top_high_region_y,top_low_concepts_for_pred,top_high_concepts_for_pred,top_low_concepts_for_true,top_high_concepts_for_true
2460239-B2,0,test,0,0,True,0.999962329864502,3.770046168938279e-05,6.9005045890808105,-3.2852962017059326,10.185800552368164,0.018564103171229362,0.0017460781382396817,0.19404323399066925,0.08589447289705276,9.896114349365234,-8.54710865020752,0.049231842160224915,-0.00014710640243720263,2.8430675229174085e-05,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_nuclear_molding_high,1.478307581237459e-06,6.526857305289013e-06,0,0,0.04449857026338577,0.21337302029132843,64135.67578125,43988.6015625,109578.859375,42590.80078125,adeno_mucinous:0.0048 | adeno_alveolar_replacement_low:0.0026 | adeno_multifocal_glandular_low:0.0021 | adeno_lepidic:0.0019 | adeno_cribriform_low:0.0015,adeno_papillary_high:0.0218 | adeno_atypical_glands_high:0.0216 | adeno_fused_glands_high:0.0202 | adeno_micropapillary_high:0.0182 | adeno_hobnail_high:0.0169,adeno_mucinous:0.0048 | adeno_alveolar_replacement_low:0.0026 | adeno_multifocal_glandular_low:0.0021 | adeno_lepidic:0.0019 | adeno_cribriform_low:0.0015,adeno_papillary_high:0.0218 | adeno_atypical_glands_high:0.0216 | adeno_fused_glands_high:0.0202 | adeno_micropapillary_high:0.0182 | adeno_hobnail_high:0.0169
2460628-B2,0,test,0,0,True,0.9999985694885254,1.4266593098000158e-06,9.112239837646484,-4.347933769226074,13.460173606872559,0.08111245930194855,0.018405936658382416,0.21490061283111572,0.1120837852358818,12.759176254272461,-11.606709480285645,0.049231842160224915,-0.0006394768133759499,0.0001223155268235132,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_nuclear_molding_high,6.789045528421411e-06,1.069594145519659e-05,3,0,0.10409196466207504,0.23747515678405762,13488.6884765625,20219.94140625,37172.10546875,39833.80078125,adeno_mucinous:0.0110 | adeno_lepidic:0.0092 | adeno_alveolar_replacement_low:0.0089 | adeno_cribriform_low:0.0070 | adeno_multifocal_glandular_low:0.0065,adeno_papillary_high:0.0251 | adeno_atypical_glands_high:0.0242 | adeno_fused_glands_high:0.0221 | adeno_micropapillary_high:0.0198 | adeno_hobnail_high:0.0197,adeno_mucinous:0.0110 | adeno_lepidic:0.0092 | adeno_alveolar_replacement_low:0.0089 | adeno_cribriform_low:0.0070 | adeno_multifocal_glandular_low:0.0065,adeno_papillary_high:0.0251 | adeno_atypical_glands_high:0.0242 | adeno_fused_glands_high:0.0221 | adeno_micropapillary_high:0.0198 | adeno_hobnail_high:0.0197
2460641-B2,0,test,0,0,True,0.9987131357192993,0.0012868850026279688,6.185484886169434,-0.4687581956386566,6.654242992401123,0.10121852904558182,0.05835053697228432,0.20539292693138123,0.12816983461380005,6.514917373657227,-4.753864288330078,0.049231842160224915,-0.0007465753587894142,0.00025527048273943365,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_inflammatory_high,7.90455760579789e-06,1.811345646274276e-05,15,0,0.11893780529499054,0.22811521589756012,66888.203125,44114.515625,61339.84765625,47187.1953125,adeno_mucinous:0.0119 | adeno_alveolar_replacement_low:0.0113 | adeno_lepidic:0.0101 | adeno_glandular_infiltration_low:0.0098 | adeno_multifocal_glandular_low:0.0083,adeno_atypical_glands_high:0.0241 | adeno_papillary_high:0.0238 | adeno_fused_glands_high:0.0228 | adeno_hobnail_high:0.0179 | adeno_intracytoplasmic_mucin_high:0.0177,adeno_mucinous:0.0119 | adeno_alveolar_replacement_low:0.0113 | adeno_lepidic:0.0101 | adeno_glandular_infiltration_low:0.0098 | adeno_multifocal_glandular_low:0.0083,adeno_atypical_glands_high:0.0241 | adeno_papillary_high:0.0238 | adeno_fused_glands_high:0.0228 | adeno_hobnail_high:0.0179 | adeno_intracytoplasmic_mucin_high:0.0177
2460960-B,0,test,0,0,True,0.9999953508377075,4.613768851413624e-06,8.58499813079834,-3.701462745666504,12.286460876464844,0.06301141530275345,0.01593754254281521,0.2232777327299118,0.1244385689496994,11.870332717895508,-10.475770950317383,0.049231842160224915,-0.0005252340924926102,0.0001202986532007344,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,5.323199275153456e-06,1.2211955436214339e-05,3,0,0.08847428858280182,0.24505549669265747,83430.8359375,48735.24609375,57466.86328125,40854.41015625,adeno_mucinous:0.0096 | adeno_alveolar_replacement_low:0.0069 | adeno_lepidic:0.0069 | adeno_cribriform_low:0.0056 | adeno_multifocal_glandular_low:0.0053,adeno_papillary_high:0.0257 | adeno_atypical_glands_high:0.0244 | adeno_fused_glands_high:0.0234 | adeno_hobnail_high:0.0207 | adeno_prominent_nucleoli_high:0.0206,adeno_mucinous:0.0096 | adeno_alveolar_replacement_low:0.0069 | adeno_lepidic:0.0069 | adeno_cribriform_low:0.0056 | adeno_multifocal_glandular_low:0.0053,adeno_papillary_high:0.0257 | adeno_atypical_glands_high:0.0244 | adeno_fused_glands_high:0.0234 | adeno_hobnail_high:0.0207 | adeno_prominent_nucleoli_high:0.0206
2461671-B2,0,test,0,0,True,0.9999966621398926,3.2812426979944576e-06,8.19837474822998,-4.428910732269287,12.62728500366211,0.08052092045545578,0.019400039687752724,0.16150222718715668,0.05875331908464432,11.972925186157227,-10.710359573364258,0.049231842160224915,-0.0004809813399333507,6.881517765577883e-05,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_dense_eosinophilic_cytoplasm_high,4.434302809386281e-06,6.447235136874951e-06,15,2,0.1040046364068985,0.18386830389499664,61668.29296875,31960.904296875,98005.5546875,46495.9140625,adeno_mucinous:0.0110 | adeno_alveolar_replacement_low:0.0090 | adeno_lepidic:0.0089 | adeno_cribriform_low:0.0068 | adeno_micropapillary:0.0063,adeno_papillary_high:0.0195 | adeno_atypical_glands_high:0.0186 | adeno_fused_glands_high:0.0160 | adeno_micropapillary_high:0.0156 | adeno_hobnail_high:0.0155,adeno_mucinous:0.0110 | adeno_alveolar_replacement_low:0.0090 | adeno_lepidic:0.0089 | adeno_cribriform_low:0.0068 | adeno_micropapillary:0.0063,adeno_papillary_high:0.0195 | adeno_atypical_glands_high:0.0186 | adeno_fused_glands_high:0.0160 | adeno_micropapillary_high:0.0156 | adeno_hobnail_high:0.0155
2461677-B2,0,test,0,0,True,0.9999821186065674,1.782891013135668e-05,6.843171119689941,-4.091500759124756,10.934671401977539,0.06388099491596222,0.023578567430377007,0.10900098085403442,0.01584661938250065,10.585145950317383,-9.228569030761719,0.049231842160224915,-0.0002668884990271181,3.380123234819621e-05,0.09688100963830948,adeno_micropapillary -> adeno_lepidic_high,nonadeno_hamartoma_low -> nonadeno_dense_eosinophilic_cytoplasm_high,1.8184058490078314e-06,4.004802121926332e-06,0,2,0.08781783282756805,0.1299726665019989,104512.0703125,23246.5546875,72568.2421875,21220.8203125,adeno_mucinous:0.0093 | adeno_alveolar_replacement_low:0.0070 | adeno_lepidic:0.0064 | adeno_multifocal_glandular_low:0.0057 | adeno_cribriform_low:0.0056,adeno_atypical_glands_high:0.0135 | adeno_papillary_high:0.0133 | adeno_prominent_nucleoli_high:0.0125 | adeno_hobnail_high:0.0109 | adeno_fused_glands_high:0.0107,adeno_mucinous:0.0093 | adeno_alveolar_replacement_low:0.0070 | adeno_lepidic:0.0064 | adeno_multifocal_glandular_low:0.0057 | adeno_cribriform_low:0.0056,adeno_atypical_glands_high:0.0135 | adeno_papillary_high:0.0133 | adeno_prominent_nucleoli_high:0.0125 | adeno_hobnail_high:0.0109 | adeno_fused_glands_high:0.0107
2461700-B2,0,test,0,0,True,0.9992921352386475,0.0007078183116391301,4.995401859283447,-2.2572128772735596,7.252614974975586,0.025513121858239174,0.007764853071421385,0.1207674890756607,0.027169467881321907,7.318737983703613,-5.358615875244141,0.049231842160224915,-0.00012332525511737913,7.364878911175765e-06,0.09688100963830948,adeno_lepidic -> adeno_lepidic_high,nonadeno_hamartoma_low -> nonadeno_intercellular_bridges_high,6.69669134367723e-07,3.641525609054952e-06,0,13,0.046152565628290176,0.1619868278503418,33362.703125,22778.333984375,38559.67578125,24223.54296875,adeno_mucinous:0.0047 | adeno_alveolar_replacement_low:0.0032 | adeno_multifocal_glandular_low:0.0029 | adeno_lepidic:0.0026 | adeno_cribriform_low:0.0022,adeno_papillary_high:0.0214 | adeno_atypical_glands_high:0.0177 | adeno_hobnail_high:0.0136 | adeno_fused_glands_high:0.0125 | adeno_micropapillary_high:0.0105,adeno_mucinous:0.0047 | adeno_alveolar_replacement_low:0.0032 | adeno_multifocal_glandular_low:0.0029 | adeno_lepidic:0.0026 | adeno_cribriform_low:0.0022,adeno_papillary_high:0.0214 | adeno_atypical_glands_high:0.0177 | adeno_hobnail_high:0.0136 | adeno_fused_glands_high:0.0125 | adeno_micropapillary_high:0.0105
2462478-B2,0,test,0,0,True,0.9993120431900024,0.0006879550055600703,6.384708881378174,-0.8963901400566101,7.28109884262085,0.025614768266677856,0.02925550937652588,0.23672159016132355,0.16677293181419373,7.823660850524902,-5.827937602996826,0.049231842160224915,-0.00024739024229347706,0.00026113432249985635,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_sarcomatoid_high,1.8297788528798264e-06,2.0158871848252602e-05,15,8,0.04928994178771973,0.2612227201461792,106978.3828125,37211.45703125,52997.42578125,39398.81640625,adeno_mucinous:0.0052 | adeno_multifocal_glandular_low:0.0033 | adeno_alveolar_replacement_low:0.0026 | adeno_solid:0.0024 | adeno_cribriform_low:0.0023,adeno_papillary_high:0.0283 | adeno_micropapillary_high:0.0277 | adeno_atypical_glands_high:0.0248 | adeno_fused_glands_high:0.0223 | adeno_hobnail_high:0.0218,adeno_mucinous:0.0052 | adeno_multifocal_glandular_low:0.0033 | adeno_alveolar_replacement_low:0.0026 | adeno_solid:0.0024 | adeno_cribriform_low:0.0023,adeno_papillary_high:0.0283 | adeno_micropapillary_high:0.0277 | adeno_atypical_glands_high:0.0248 | adeno_fused_glands_high:0.0223 | adeno_hobnail_high:0.0218
2462598-B,0,test,0,1,False,0.49781396985054016,0.5021860599517822,2.2234206199645996,2.2321648597717285,0.008744239807128906,-0.04420233517885208,0.012889942154288292,0.2366272509098053,0.1785409301519394,0.6701829433441162,0.710676908493042,0.049231842160224915,0.0003415505343582481,9.725560812512413e-05,0.09688100963830948,adeno_lepidic -> adeno_solid_high,nonadeno_hamartoma_low -> nonadeno_spindle_atypia_high,7.228647064039251e-06,1.108950800698949e-05,15,13,0.05660014599561691,0.240129753947258,108452.8828125,20182.94140625,111556.4375,43086.48828125,nonadeno_hamartoma_low:0.0074 | nonadeno_fibroinflammatory_low:0.0025 | nonadeno_benign_reactive_low:0.0018 | nonadeno_small_cell_low:0.0010 | nonadeno_sarcomatoid_low:0.0010,nonadeno_hamartoma_high:0.0398 | nonadeno_fibrosis_inflammation_high:0.0252 | nonadeno_chondromyxoid_matrix_high:0.0244 | nonadeno_inflammatory_high:0.0165 | nonadeno_chondroid_matrix_high:0.0144,adeno_solid:-0.0022 | adeno_multifocal_glandular_low:-0.0026 | adeno_mucinous:-0.0027 | adeno_cribriform_low:-0.0037 | adeno_micropapillary:-0.0038,adeno_papillary_high:0.0261 | adeno_fused_glands_high:0.0257 | adeno_atypical_glands_high:0.0251 | adeno_mucinous_high:0.0247 | adeno_micropapillary_high:0.0211
2462637-B2,0,test,0,0,True,0.9999043941497803,9.558867895975709e-05,7.200438499450684,-2.054921865463257,9.25536060333252,0.05859766900539398,0.004337274935096502,0.2294597029685974,0.14610813558101654,8.982107162475586,-7.288295269012451,0.049231842160224915,-0.00048556920955888927,7.710327918175608e-05,0.09688100963830948,adeno_lepidic -> adeno_mucinous_high,nonadeno_hamartoma_low -> nonadeno_spindle_atypia_high,5.59542968403548e-06,1.0557253517617937e-05,0,13,0.08589693158864975,0.26406195759773254,75470.125,44030.16796875,43995.2890625,48496.328125,adeno_mucinous:0.0095 | adeno_alveolar_replacement_low:0.0067 | adeno_lepidic:0.0065 | adeno_cribriform_low:0.0049 | adeno_multifocal_glandular_low:0.0047,adeno_papillary_high:0.0319 | adeno_atypical_glands_high:0.0249 | adeno_micropapillary_high:0.0244 | adeno_fused_glands_high:0.0226 | adeno_hobnail_high:0.0210,adeno_mucinous:0.0095 | adeno_alveolar_replacement_low:0.0067 | adeno_lepidic:0.0065 | adeno_cribriform_low:0.0049 | adeno_multifocal_glandular_low:0.0047,adeno_papillary_high:0.0319 | adeno_atypical_glands_high:0.0249 | adeno_micropapillary_high:0.0244 | adeno_fused_glands_high:0.0226 | adeno_hobnail_high:0.0210
