slide_id,anchor_rank,anchor_score,anchor_coord_x,anchor_coord_y,anchor_center_x,anchor_center_y,anchor_bbox_x0,anchor_bbox_y0,anchor_bbox_x1,anchor_bbox_y1,neighbor_count,top_class,top_class_name,top_concept,top_prompt_index,center_patch_index,nms_radius,nms_suppressed_by_rank,selection_note
2460239-B2,1,0.4965290427207947,29616.0,20321.0,29744.0,20449.0,29616.0,20321.0,29872.0,20577.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,103,512.0,,ok
2460239-B2,2,0.4744136333465576,62384.0,48993.0,62512.0,49121.0,62384.0,48993.0,62640.0,49249.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,170,512.0,,ok
2460239-B2,3,0.46646201610565186,109892.0,47777.0,110020.0,47905.0,109892.0,47777.0,110148.0,48033.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,19,512.0,,ok
2460239-B2,4,0.4663419723510742,118580.0,2848.0,118708.0,2976.0,118580.0,2848.0,118836.0,3104.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,46,512.0,,ok
2460239-B2,5,0.4656977951526642,117333.0,74376.0,117461.0,74504.0,117333.0,74376.0,117589.0,74632.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,35,512.0,,ok
2460239-B2,6,0.4643871784210205,58288.0,48993.0,58416.0,49121.0,58288.0,48993.0,58544.0,49249.0,1,0,Adenocarcinoma,solid growth pattern,4,163,512.0,,ok
2460239-B2,7,0.46211665868759155,50096.0,36705.0,50224.0,36833.0,50096.0,36705.0,50352.0,36961.0,1,0,Adenocarcinoma,mixed acinar papillary architecture,7,143,512.0,,ok
2460239-B2,8,0.4607386887073517,126276.0,19105.0,126404.0,19233.0,126276.0,19105.0,126532.0,19361.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,59,512.0,,ok
2460239-B2,9,0.4601617157459259,105796.0,35489.0,105924.0,35617.0,105796.0,35489.0,106052.0,35745.0,1,0,Adenocarcinoma,papillary architecture,2,5,512.0,,ok
2460239-B2,10,0.46014755964279175,41904.0,40801.0,42032.0,40929.0,41904.0,40801.0,42160.0,41057.0,1,0,Adenocarcinoma,solid growth pattern,4,127,512.0,,ok
2460239-B2,11,0.45989876985549927,41985.0,24435.0,42113.0,24563.0,41985.0,24435.0,42241.0,24691.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,131,512.0,,ok
2460239-B2,12,0.45844629406929016,40849.0,22162.0,40977.0,22290.0,40849.0,22162.0,41105.0,22418.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,123,512.0,,ok
2460239-B2,13,0.45831337571144104,32881.0,45733.0,33009.0,45861.0,32881.0,45733.0,33137.0,45989.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,105,512.0,,ok
2460239-B2,14,0.45780354738235474,138564.0,43681.0,138692.0,43809.0,138564.0,43681.0,138820.0,43937.0,1,0,Adenocarcinoma,solid growth pattern,4,88,512.0,,ok
2460239-B2,15,0.4576677978038788,54192.0,12129.0,54320.0,12257.0,54192.0,12129.0,54448.0,12385.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,150,512.0,,ok
2460239-B2,16,0.45739907026290894,126276.0,23201.0,126404.0,23329.0,126276.0,23201.0,126532.0,23457.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,60,512.0,,ok
2460628-B2,1,0.5208147168159485,84066.0,6832.0,84194.0,6960.0,84066.0,6832.0,84322.0,7088.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,152,512.0,,ok
2460628-B2,2,0.5032620429992676,41504.0,40705.0,41632.0,40833.0,41504.0,40705.0,41760.0,40961.0,1,0,Adenocarcinoma,lepidic growth pattern,0,100,512.0,,ok
2460628-B2,3,0.49867337942123413,12832.0,32513.0,12960.0,32641.0,12832.0,32513.0,13088.0,32769.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,29,512.0,,ok
2460628-B2,4,0.4930819272994995,12832.0,16129.0,12960.0,16257.0,12832.0,16129.0,13088.0,16385.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,25,512.0,,ok
2460628-B2,5,0.49213606119155884,16928.0,48897.0,17056.0,49025.0,16928.0,48897.0,17184.0,49153.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,43,512.0,,ok
2460628-B2,6,0.49108994007110596,21024.0,48897.0,21152.0,49025.0,21024.0,48897.0,21280.0,49153.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,54,512.0,,ok
2460628-B2,7,0.49063369631767273,88162.0,10928.0,88290.0,11056.0,88162.0,10928.0,88418.0,11184.0,1,0,Adenocarcinoma,lepidic growth pattern,0,160,512.0,,ok
2460628-B2,8,0.4904826879501343,16928.0,20225.0,17056.0,20353.0,16928.0,20225.0,17184.0,20481.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,36,512.0,,ok
2460628-B2,9,0.49034780263900757,16928.0,16129.0,17056.0,16257.0,16928.0,16129.0,17184.0,16385.0,1,0,Adenocarcinoma,lepidic growth pattern,0,35,512.0,,ok
2460628-B2,10,0.4798567295074463,12832.0,20225.0,12960.0,20353.0,12832.0,20225.0,13088.0,20481.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,26,512.0,,ok
2460628-B2,11,0.478305459022522,16928.0,28417.0,17056.0,28545.0,16928.0,28417.0,17184.0,28673.0,1,0,Adenocarcinoma,mixed acinar papillary architecture,7,38,512.0,,ok
2460628-B2,12,0.47813504934310913,12832.0,48897.0,12960.0,49025.0,12832.0,48897.0,13088.0,49153.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,32,512.0,,ok
2460628-B2,13,0.4776945114135742,92258.0,15024.0,92386.0,15152.0,92258.0,15024.0,92514.0,15280.0,1,0,Adenocarcinoma,lepidic growth pattern,0,171,512.0,,ok
2460628-B2,14,0.4768126606941223,8736.0,28417.0,8864.0,28545.0,8736.0,28417.0,8992.0,28673.0,1,0,Adenocarcinoma,acinar growth pattern,1,157,512.0,,ok
2460628-B2,15,0.47663989663124084,92258.0,10928.0,92386.0,11056.0,92258.0,10928.0,92514.0,11184.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,170,512.0,,ok
2460628-B2,16,0.4763207733631134,12832.0,40705.0,12960.0,40833.0,12832.0,40705.0,13088.0,40961.0,1,0,Adenocarcinoma,papillary architecture,2,30,512.0,,ok
2460641-B2,1,0.44298264384269714,44624.0,62546.0,44752.0,62674.0,44624.0,62546.0,44880.0,62802.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,159,512.0,,ok
2460641-B2,2,0.4412267208099365,36432.0,74834.0,36560.0,74962.0,36432.0,74834.0,36688.0,75090.0,1,1,NonAdenocarcinoma,inflammatory or granulomatous lesion,3,139,512.0,,ok
2460641-B2,3,0.4308794140815735,40528.0,66642.0,40656.0,66770.0,40528.0,66642.0,40784.0,66898.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,147,512.0,,ok
2460641-B2,4,0.43060240149497986,32336.0,58450.0,32464.0,58578.0,32336.0,58450.0,32592.0,58706.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,121,512.0,,ok
2460641-B2,5,0.4273274540901184,104134.0,62338.0,104262.0,62466.0,104134.0,62338.0,104390.0,62594.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,21,512.0,,ok
2460641-B2,6,0.4225473403930664,7760.0,29778.0,7888.0,29906.0,7760.0,29778.0,8016.0,30034.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,193,512.0,,ok
2460641-B2,7,0.4215042293071747,100038.0,62338.0,100166.0,62466.0,100038.0,62338.0,100294.0,62594.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,10,512.0,,ok
2460641-B2,8,0.4197618067264557,48720.0,74834.0,48848.0,74962.0,48720.0,74834.0,48976.0,75090.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,173,512.0,,ok
2460641-B2,9,0.4172843396663666,11856.0,42066.0,11984.0,42194.0,11856.0,42066.0,12112.0,42322.0,1,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,4,61,512.0,,ok
2460641-B2,10,0.41657108068466187,100038.0,33666.0,100166.0,33794.0,100038.0,33666.0,100294.0,33922.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,3,512.0,,ok
2460641-B2,11,0.4148886799812317,100038.0,58242.0,100166.0,58370.0,100038.0,58242.0,100294.0,58498.0,1,0,Adenocarcinoma,solid growth pattern,4,9,512.0,,ok
2460641-B2,12,0.41436874866485596,116422.0,54146.0,116550.0,54274.0,116422.0,54146.0,116678.0,54402.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,50,512.0,,ok
2460641-B2,13,0.4124857485294342,48720.0,54354.0,48848.0,54482.0,48720.0,54354.0,48976.0,54610.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,169,512.0,,ok
2460641-B2,14,0.4119439721107483,36432.0,54354.0,36560.0,54482.0,36432.0,54354.0,36688.0,54610.0,1,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,4,134,512.0,,ok
2460641-B2,15,0.411431223154068,36432.0,66642.0,36560.0,66770.0,36432.0,66642.0,36688.0,66898.0,1,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,4,137,512.0,,ok
2460641-B2,16,0.41068506240844727,95942.0,21378.0,96070.0,21506.0,95942.0,21378.0,96198.0,21634.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,231,512.0,,ok
2460960-B,1,0.5141630172729492,41072.0,50737.0,41200.0,50865.0,41072.0,50737.0,41328.0,50993.0,1,0,Adenocarcinoma,papillary architecture,2,226,512.0,,ok
2460960-B,2,0.5088839530944824,133462.0,15264.0,133590.0,15392.0,133462.0,15264.0,133718.0,15520.0,1,0,Adenocarcinoma,papillary architecture,2,116,512.0,,ok
2460960-B,3,0.5042879581451416,49264.0,22065.0,49392.0,22193.0,49264.0,22065.0,49520.0,22321.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,248,512.0,,ok
2460960-B,4,0.49803948402404785,117078.0,23456.0,117206.0,23584.0,117078.0,23456.0,117334.0,23712.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,58,512.0,,ok
2460960-B,5,0.4956510066986084,129366.0,43936.0,129494.0,44064.0,129366.0,43936.0,129622.0,44192.0,1,0,Adenocarcinoma,papillary architecture,2,110,512.0,,ok
2460960-B,6,0.49402958154678345,68004.0,17777.0,68132.0,17905.0,68004.0,17777.0,68260.0,18033.0,1,0,Adenocarcinoma,papillary architecture,2,309,512.0,,ok
2460960-B,7,0.49399834871292114,104790.0,27552.0,104918.0,27680.0,104790.0,27552.0,105046.0,27808.0,1,0,Adenocarcinoma,papillary architecture,2,13,512.0,,ok
2460960-B,8,0.49342435598373413,45168.0,30257.0,45296.0,30385.0,45168.0,30257.0,45424.0,30513.0,1,0,Adenocarcinoma,lepidic growth pattern,0,236,512.0,,ok
2460960-B,9,0.49319469928741455,117078.0,39840.0,117206.0,39968.0,117078.0,39840.0,117334.0,40096.0,1,0,Adenocarcinoma,papillary architecture,2,62,512.0,,ok
2460960-B,10,0.4928370714187622,129366.0,23456.0,129494.0,23584.0,129366.0,23456.0,129622.0,23712.0,1,0,Adenocarcinoma,lepidic growth pattern,0,105,512.0,,ok
2460960-B,11,0.4873937666416168,20592.0,63025.0,20720.0,63153.0,20592.0,63025.0,20848.0,63281.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,168,512.0,,ok
2460960-B,12,0.4872968792915344,36976.0,42545.0,37104.0,42673.0,36976.0,42545.0,37232.0,42801.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,210,512.0,,ok
2460960-B,13,0.48663026094436646,45168.0,38449.0,45296.0,38577.0,45168.0,38449.0,45424.0,38705.0,1,0,Adenocarcinoma,papillary architecture,2,238,512.0,,ok
2460960-B,14,0.48633527755737305,125270.0,43936.0,125398.0,44064.0,125270.0,43936.0,125526.0,44192.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,95,512.0,,ok
2460960-B,15,0.4861358404159546,112982.0,31648.0,113110.0,31776.0,112982.0,31648.0,113238.0,31904.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,44,512.0,,ok
2460960-B,16,0.485601007938385,36976.0,34353.0,37104.0,34481.0,36976.0,34353.0,37232.0,34609.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,208,512.0,,ok
