,train,val,test
0,2460239-B2,2460602-B,2461703-B3
1,2460242-B2,2460949-B3,2461861-B2
2,2460399-B2,2461002-B2,2462885-B2
3,2460404-B3,2461698-B,2462987-B2
4,2460405-B2,2461857-B2,2463135-B
5,2460591-B2,2462123-B2,2463187-B2
6,2460628-B2,2462170-B4,2463404-B2
7,2460641-B2,2462614-B3,2463643-B
8,2460643-B,2463126-B2,2464438-B5
9,2460753-B2,2463351-B4,2464929-B
10,2460770-B2,2464404-B5,2465263-B2
11,2460960-B,2464879-B2,2465636-B
12,2460974-B2,2464943-B2,2465989-B2
13,2461487-B2,2465339-B2,2466580-B5
14,2461671-B2,2465643-B3,2466581-B1
15,2461672-B2,2465827-B5,2466866-B
16,2461677-B2,2466159-B2,2466884-B2
17,2461700-B2,2466285-B,2466899-B2
18,2461718-B3,2466581-B2,2468698-B2
19,2461755-B3,2466584-B,2469024-B
20,2461836-B2,2466703-B4,2469505-B2
21,2462290-B2,2466718-B,2469969-B2
22,2462293-B3,2466893-B2,2470260-B
23,2462478-B2,2466898-B2,2471072-B2
24,2462483-B,2468417-B2,2472465-B2
25,2462598-B,2468419-B2,2472471-B2
26,2462637-B2,2468419-B3,2473272-B3
27,2462830-B2,2468442-B2,2473394-B2
28,2462830-B4,2468450-B2,2474124-B2
29,2462840-B5,2468720-B2,2474718-B4
30,2462920-B3,2468954-B2,2475159-B
31,2462921-B,2469019-B2,2476250-B2
32,2463127-B3,2469023-B4,2476295-B3
33,2463370-B2,2469072-B2,2476681-B2
34,2463379-B4,2469110-B3,2476856-B2
35,2463647-B2,2469260-B3,2477285-B2
36,2463656-B2,2469515-B2,2477299-B2
37,2463720-B7,2470647-B2,2477473-B2
38,2464443-B,2472481-B2,2477941-B2
39,2464548-B,2472509-B4,2481723-B2
40,2464690-B2,2473218-B2,2482461-B2
41,2464812-B3,2473228-B2,2482962-B2
42,2464817-B,2473545-B2,2483014-B4
43,2465202-B3,2473545-B3,2483215-B5
44,2465243-B2,2473623-B2,2483220-B1
45,2465367-B3,2474188-B2,2483868-B4
46,2465396-B2,2474626-B2,2483973-B1
47,2465397-B,2474704-B2,2484004-B2
48,2465568-B2,2476242-B2,2484734-B4
49,2465608-B2,2476358-B2,2485318-B2
50,2465625-B,2476376-B2,2485322-B2
51,2465639-B2,2476834-B3,2485328-B2
52,2465661-B2,2476983-B,2485517-B2
53,2465795-B4,2477274-B3,2485805-B
54,2465843-B2,2477577-B3,2486104-B1
55,2466152-B2,2477670-B2,2486191-B
56,2466264-B2,2482483-B2,2487656-B4
57,2466881-B2,2482952-B2,2488767-B
58,2466891-B2,2483055-B2,2488932-B4
59,2466923-B2,2484312-B2,2489331-B2
60,2468105-B2,2484633-B2,25012175B4
61,2468321-B2,2484734-B5,25012915B2
62,2468325-B,2484743-B4,25013062B3
63,2468673-B2,2485303-B2,25013162B2
64,2468796-B3,2486653-B2,25013352B2
65,2469004-B2,2486812-B2,25014217B2
66,2469005-B2,2486813-B2,25014265B2
67,2469007-B2,2486845-B2,25015101B2
68,2469023-B2,2487246-B2,25015190B2
69,2469029-B2,2487388-B2,25015425B2
70,2469033-B2,2488320-B3,25016915B2
71,2469047-B2,25012153B2,25017322B2
72,2469074-B2,25012485B2,25017338B3
73,2469230-B,25012760B2,25017372B2
74,2469256-B2,25013189B2,25017539B2
75,2469496-B,25013465B2,25017589B6
