,train,val,test
0,2460404-B3,2460242-B2,2460239-B2
1,2460591-B2,2460399-B2,2460753-B2
2,2460628-B2,2460405-B2,2460949-B3
3,2460641-B2,2460602-B,2461671-B2
4,2460643-B,2460974-B2,2461700-B2
5,2460770-B2,2461002-B2,2461718-B3
6,2460960-B,2461677-B2,2461755-B3
7,2461487-B2,2461698-B,2462614-B3
8,2461672-B2,2461836-B2,2462840-B5
9,2461703-B3,2461857-B2,2462920-B3
10,2461861-B2,2462478-B2,2462987-B2
11,2462123-B2,2462598-B,2463126-B2
12,2462170-B4,2463127-B3,2463135-B
13,2462290-B2,2463370-B2,2463404-B2
14,2462293-B3,2463643-B,2463647-B2
15,2462483-B,2464404-B5,2463656-B2
16,2462637-B2,2464690-B2,2464438-B5
17,2462830-B2,2465202-B3,2464443-B
18,2462830-B4,2465608-B2,2464817-B
19,2462885-B2,2466581-B1,2464943-B2
20,2462921-B,2466881-B2,2465263-B2
21,2463187-B2,2466884-B2,2465339-B2
22,2463351-B4,2468417-B2,2465625-B
23,2463379-B4,2468419-B2,2466159-B2
24,2463720-B7,2468450-B2,2466285-B
25,2464548-B,2468720-B2,2466581-B2
26,2464812-B3,2469004-B2,2466898-B2
27,2464879-B2,2469005-B2,2468954-B2
28,2464929-B,2469023-B4,2469024-B
29,2465243-B2,2469496-B,2469074-B2
30,2465367-B3,2469505-B2,2469230-B
31,2465396-B2,2469569-B2,2469256-B2
32,2465397-B,2469693-B,2469849-B2
33,2465568-B2,2469965-B2,2469916-B2
34,2465636-B,2471237-B2,2469927-B2
35,2465639-B2,2471595-B3,2470260-B
36,2465643-B3,2472453-B2,2470270-B2
37,2465661-B2,2472500-B2,2470405-B2
38,2465795-B4,2473218-B3,2471885-B2
39,2465827-B5,2473228-B2,2471957-B
40,2465843-B2,2473545-B2,2473212-B4
41,2465989-B2,2473600-B3,2473394-B2
42,2466152-B2,2474612-B2,2473623-B2
43,2466264-B2,2474631-B3,2474626-B2
44,2466580-B5,2474704-B2,2474718-B4
45,2466584-B,2475349-B2,2475022-B
46,2466703-B4,2476250-B2,2475126-B2
47,2466718-B,2476252-B2,2475184-B2
48,2466866-B,2477039-B,2477118-B3
49,2466891-B2,2477274-B3,2477118-B4
50,2466893-B2,2477541-B2,2477577-B3
51,2466899-B2,2477809-B3,2477949-B2
52,2466923-B2,2477977-B3,2482964-B2
53,2468105-B2,2478091-B4,2482969-B
54,2468321-B2,2481696-B4,2483055-B2
55,2468325-B,2481750-B2,2483211-B2
56,2468419-B3,2482055-B2,2483868-B4
57,2468442-B2,2482607-B,2484220-B3
58,2468673-B2,2482962-B2,2484312-B2
59,2468698-B2,2482992-B,2484463-B2
60,2468796-B3,2483363-B3,2484727-B2
61,2469007-B2,2483973-B1,2484734-B4
62,2469019-B2,2484228-B,2486104-B2
63,2469023-B2,2485303-B2,2486687-B3
64,2469029-B2,2486100-B,2486812-B2
65,2469033-B2,2486104-B1,2486813-B2
66,2469047-B2,2486653-B2,2486845-B2
67,2469072-B2,2486833-B2,2486859-B2
68,2469110-B3,2487376-B2,2487664-B2
69,2469260-B3,2487388-B2,2487896-B2
70,2469515-B2,2487656-B4,2488065-B3
71,2469661-B,2488044-B2,2488344-B2
72,2469963-B2,2489131-B3,2489137-B4
73,2469969-B2,25012170B5,2489182-B2
74,2470647-B2,25013023B2,2489203-B
75,2470657-B3,25014160B2,25012253B3
76,2471072-B2,25014226B2,25012485B2
77,2471442-B3,25014268B,25012628B2
78,2471452-B2,25015625B2,25012915B2
79,2471618-B3,25016077B2,25013189B2
80,2471884-B2,25016772B2,25013189B3
81,2471887-B,25016801B2,25014217B2
82,2471921-B2,25016915B2,25014684B
83,2471959-B2,25017089B2,25015087B2
84,2471963-B,25017227B2,25015408B3
85,2472316-B7,25017322B2,25015495B3
86,2472465-B2,25017341B4,25015495B4
87,2472471-B2,25017372B2,25015820B
88,2472481-B2,25017515B2,25015870B3
89,2472505-B,25017518B2,25017242B2
90,2472509-B4,25017538B4,25017383B2
91,2472509-B6,25017738B2,25017748B2
92,2473218-B2,25018571B2,25017948B3
93,2473266-B,25019081B3,25018457B2
94,2473272-B3,25019284B2,25018910B2
95,2473366-B2,25019376B2,25019283B2
96,2473534-B2,25019806B2,25019621B2
97,2473545-B3,25021538B2,25019716B2
98,2473549-B,25021554B2,25020291B2
99,2473608-B2,25021640B3,25021164B2
100,2473621-B3,25021667B2,25021291B2
101,2473738-B3,25021911B2,25021481B2
102,2474124-B2,25022038B2,25021893B2
103,2474140-B3,25022343B3,25021973B2
104,2474150-B3,25022354B2,25022019B2
105,2474188-B2,25023814B,25022406B2
106,2474189-B7,25023936B2,25023016B6
107,2474291-B2,25023977B2,25023573B
108,2474337-B3,25024243B2,25023590B3
109,2474500-B2,25024302B4,25023934B2
110,2474638-B3,25024310B3,25024709B2
111,2474721-B,25024983B2,25024855B3
112,2474739-B2,25025096B2,25025240B
113,2474901-B,25025102B2,25025510B3
114,2475011-B2,25025251B,25025675B2
115,2475159-B,25025262B2,25025788B2
116,2476242-B2,25025567B3,25026075B2
117,2476295-B3,25025575B2,25012148B3
118,2476358-B2,25018584B,2490972B8
119,2476376-B2,25018592B,2491131B2
120,2476391-B2,2490837B2,25002366B6
121,2476681-B2,2490964B2,25002391B2
122,2476750-B,2491191B3,25002663B5
123,2476834-B3,2491275B2,25002897B2
124,2476856-B2,25001939B2,25009124B2
125,2476983-B,25002898B2,25009539B3
126,2476984-B2,25015064B,25009578B4
127,2477053-B3,2460943-B3,2462939-B
128,2477058-B2,2462609-B2,2476299-B2
129,2477189-B2,2476286-B2,2482883-B2
130,2477189-B3,2476693-B3,2485632-B
131,2477285-B2,2482111-B2,2488302-B2
132,2477299-B2,2485276-B3,25015421B3
133,2477473-B2,2487043-B,25015471B
134,2477476-B2,2487567-B2,25015784B2
135,2477668-B3,2488987-B2,25015798B2
136,2477670-B2,25012737B4,25017341B3
137,2477695-B2,25013062B2,25017739B2
138,2477814-B5,25013977B2,25018478B2
139,2477941-B2,25014627B3,25019335B6
140,2481703-B2,25015191B3,25019339B2
141,2481723-B2,25015215B2,25020232B
142,2482056-B4,25015496B,25021558B2
143,2482056-B9,25016827B2,25021665B2
144,2482461-B2,25017499B,25023828B
145,2482483-B2,25017592B3,25023972B3
146,2482886-B2,25019675B2,25025087B
147,2482896-B2,25020353B2,25025567B4
148,2482947-B2,25020714B4,25025616B
149,2482952-B2,25021665B3,25026294B3
150,2482956-B,25021735B5,25026499B3
151,2482957-B2,25021890B4,25026752B
152,2483014-B4,25021922B2,25026782B3
153,2483215-B5,25022344B2,25027131B2
154,2483215-B6,25022458B2,25027181B2
155,2483220-B1,25023687B4,25027181B3
156,2483768-B4,25024254B2,25027181B5
157,2483846-B,25025569B,25027193B
158,2483862-B2,25026797B2,25002510B2
159,2483961-B3,25002379B2,25028010B2
160,2483993-B2,25027606B3,25028014B4
161,2484004-B2,25027770B,25028151B2
162,2484209-B2,25028151B3,25028862B2
163,2484301-B2,25028514B,25029134B
164,2484633-B2,25029565B5,25030157B3
165,2484734-B5,25029906B2,25030619B2
166,2484743-B4,25031302B,25030630B
167,2484771-B3,25031706B,25032143B3
168,2484791-B3,25032143B2,25032146B2
169,2484883-B2,25032179B3,25033169B1
170,2485059-B2,25032626B2,25033211B
171,2485259-B6,25034245B2,25034940B12
172,2485275-B2,25034327B2,25036340B1
173,2485318-B2,25034929B2,25036341B
174,2485322-B2,25035354B,25042220B2
175,2485328-B2,25035882B4,25043126B2
176,2485517-B2,25036634B2,25044694B
177,2485635-B2,25041732B,25045625B1
178,2485803-B2,25045403B-1,25045625B2
179,2485805-B,25045807B4,25045676B4
180,2485969-B2,25046631B2,25045839B
181,2486165-B2,25049999B2,25046521B3
182,2486191-B,25050862B2,25046855B
183,2486197-B2,25050888B3,25047066B
184,2486262-B4,25054130B2,25047077B2
185,2486653-B3,25055681B2,25047088B
186,2487140-B2,25055857B2,25048256B2
187,2487143-B,25057865B1,25050345B2
188,2487146-B2,25058118B4,25050830B2
189,2487237-B2,25058713B2,25050888B2
190,2487246-B2,25062444B,25052654B2
191,2487274-B2,25063676B,25053425B2
192,2487558-B2,25063676B2,25062891B4
193,2487651-B,,
194,2487935-B2,,
195,2487941-B2,,
196,2488039-B2,,
197,2488044-B3,,
198,2488050-B3,,
199,2488320-B3,,
200,2488330-B2,,
201,2488369-B2,,
202,2488475-B2,,
203,2488477-B2,,
204,2488767-B,,
205,2488769-B2,,
206,2488806-B2,,
207,2488916-B2,,
208,2488932-B4,,
209,2489331-B2,,
210,25012148B4,,
211,25012153B2,,
212,25012170B4,,
213,25012175B4,,
214,25012760B2,,
215,25012785B2,,
216,25012919B8,,
217,25012919B9,,
218,25013062B3,,
219,25013162B2,,
220,25013352B2,,
221,25013465B2,,
222,25013871B6,,
223,25013878B2,,
224,25014124B2,,
225,25014217B3,,
226,25014265B2,,
227,25014311B2,,
228,25014318B,,
229,25015070B2,,
230,25015101B2,,
231,25015103B2,,
232,25015190B2,,
233,25015204B2,,
234,25015234B2,,
235,25015422B,,
236,25015425B2,,
237,25015488B2,,
238,25015607B2,,
239,25015622B2,,
240,25015811B3,,
241,25015811B4,,
242,25015863B2,,
243,25016088B2,,
244,25016785B2,,
245,25016829B2,,
246,25016903B4,,
247,25016905B4,,
248,25016926B2,,
249,25017211B2,,
250,25017218B3,,
251,25017220B2,,
252,25017320B2,,
253,25017338B3,,
254,25017354B5,,
255,25017355B1,,
256,25017539B2,,
257,25017539B3,,
258,25017589B6,,
259,25017711B,,
260,25017716B2,,
261,25017718B2,,
262,25017767B2,,
263,25017932B2,,
264,25018002B2,,
265,25018050B2,,
266,25018453B2,,
267,25019102B4,,
268,25019107B,,
269,25019352B2,,
270,25019379B,,
271,25019384B2,,
272,25019457B2,,
273,25019468B2,,
274,25019508B4,,
275,25019621B4,,
276,25019773B3,,
277,25019776B2,,
278,25019790B2,,
279,25020257B2,,
280,25020263B2,,
281,25020282B2,,
282,25020573B3,,
283,25020714B2,,
284,25020717B2,,
285,25020760B3,,
286,25021120B4,,
287,25021171B2,,
288,25021197B2,,
289,25021260B2,,
290,25021419B1,,
291,25021474B,,
292,25021575B4,,
293,25021622B4,,
294,25021658B3,,
295,25021662B2,,
296,25021668B2,,
297,25021894B2,,
298,25021894B3,,
299,25021901B2,,
300,25021918B4,,
301,25022262B2,,
302,25022278B2,,
303,25022330B2,,
304,25023184B2,,
305,25023590B4,,
306,25023687B2,,
307,25023690B3,,
308,25023869B3,,
309,25023869B4,,
310,25023930B2,,
311,25024142B2,,
312,25024431B,,
313,25024688B2,,
314,25024698B4,,
315,25024732B2,,
316,25024878B3,,
317,25024982B2,,
318,25025083B2,,
319,25025109B2,,
320,25025245B2,,
321,25025297B,,
322,25025298B2,,
323,25025506B,,
324,25025509B2,,
325,25025510B1,,
326,25025570B2,,
327,25025602B2,,
328,25025953B2,,
329,25025960B2,,
330,25026081B2,,
331,25026103B3,,
332,25026163B,,
333,25026180B2,,
334,25026254B2,,
335,25026291B2,,
336,25026669B2,,
337,25026740B2,,
338,25026798B2,,
339,25027122B2,,
340,25027135B3,,
341,25027167B2,,
342,25027290B2,,
343,25017073B2,,
344,2490526B3,,
345,2490547B2,,
346,2490750B4,,
347,2490820B2,,
348,2490820B3,,
349,2490844B1,,
350,2490860B2,,
351,2490963B2,,
352,2490978B2,,
353,2491191B2,,
354,2491226B2,,
355,2491560B2,,
356,25001929B3,,
357,25001965B2,,
358,25001966B2,,
359,25002073B3,,
360,25002238B,,
361,25002328B2,,
362,25002329B2,,
363,25002388B2,,
364,25002472B2,,
365,25002496B2,,
366,25002504B2,,
367,25002744B2,,
368,25002788B2,,
369,25002789B2,,
370,25002801B1,,
371,25002804B2,,
372,25002906B2,,
373,25002907B3,,
374,25003038B2,,
375,25009148B3,,
376,25009148B4,,
377,25009294B2,,
378,25009297B,,
379,25009367B2,,
380,25009529B2,,
381,25009747B,,
382,25009756B2,,
383,2460615-B4,,
384,2462468-B2,,
385,2463367-B2,,
386,2477926-B4,,
387,2483073-B3,,
388,2483850-B2,,
389,2484660-B2,,
390,2484791-B2,,
391,2484862-B3,,
392,2485164-B2,,
393,2485473-B2,,
394,2485536-B2,,
395,2486102-B2,,
396,2487053-B2,,
397,2487063-B2,,
398,2487518-B,,
399,2488040-B,,
400,2488335-B,,
401,2488960-B2,,
402,25013189B4,,
403,25013629B6,,
404,25014298B2,,
405,25015052B3,,
406,25015191B2,,
407,25015594B2,,
408,25015608B2,,
409,25015640B3,,
410,25015640B5,,
411,25015867B2,,
412,25016027B,,
413,25016031B2,,
414,25017342B2,,
415,25017355B4,,
416,25017500B,,
417,25017730B2,,
418,25017923B,,
419,25017930B,,
420,25018956B3,,
421,25019094B8,,
422,25019273B,,
423,25019294B1,,
424,25019294B2,,
425,25019339B3,,
426,25019474B2,,
427,25019503B,,
428,25019629B2,,
429,25019705B2,,
430,25020556B4,,
431,25020799B3,,
432,25020799B5,,
433,25021196B2,,
434,25021277B3,,
435,25021277B4,,
436,25021421B2,,
437,25021487B,,
438,25021555B2,,
439,25021672B,,
440,25021890B6,,
441,25022013B,,
442,25022584B2,,
443,25022584B3,,
444,25022613B2,,
445,25023174B2,,
446,25023327B3,,
447,25023687B3,,
448,25023846B4,,
449,25023935B2,,
450,25023961B2,,
451,25024433B2,,
452,25024695B2,,
453,25024765B2,,
454,25024855B4,,
455,25024875B2,,
456,25024982B1,,
457,25025076B,,
458,25025097B,,
459,25025291B,,
460,25025293B2,,
461,25025951B,,
462,25025954B3,,
463,25025975B2,,
464,25026103B2,,
465,25026144B2,,
466,25026144B3,,
467,25026285B2,,
468,25026509B,,
469,25027181B4,,
470,25027181B6,,
471,2490980B,,
472,2491552B,,
473,2491579B,,
474,25009557B,,
475,25027636B2,,
476,25027718B2,,
477,25027723B4,,
478,25028010B2a,,
479,25028010B3,,
480,25028014B5,,
