,train,val,test
0,2460239-B2,2460405-B2,2460242-B2
1,2460399-B2,2460602-B,2460591-B2
2,2460404-B3,2460753-B2,2460641-B2
3,2460628-B2,2460949-B3,2460643-B
4,2460770-B2,2460960-B,2460974-B2
5,2461487-B2,2461002-B2,2461698-B
6,2461703-B3,2461671-B2,2461700-B2
7,2461718-B3,2461672-B2,2461836-B2
8,2461755-B3,2461677-B2,2461857-B2
9,2462170-B4,2461861-B2,2462920-B3
10,2462290-B2,2462123-B2,2462921-B
11,2462478-B2,2462293-B3,2462987-B2
12,2462483-B,2462614-B3,2463656-B2
13,2462598-B,2462885-B2,2463720-B7
14,2462637-B2,2463126-B2,2465202-B3
15,2462830-B2,2463135-B,2465367-B3
16,2462830-B4,2463187-B2,2465568-B2
17,2462840-B5,2463379-B4,2465625-B
18,2463127-B3,2463404-B2,2465661-B2
19,2463351-B4,2464404-B5,2466580-B5
20,2463370-B2,2464443-B,2466581-B2
21,2463643-B,2464943-B2,2466923-B2
22,2463647-B2,2465397-B,2468450-B2
23,2464438-B5,2465608-B2,2468954-B2
24,2464548-B,2466264-B2,2469005-B2
25,2464690-B2,2466881-B2,2469023-B2
26,2464812-B3,2466891-B2,2469029-B2
27,2464817-B,2468419-B3,2469072-B2
28,2464879-B2,2468442-B2,2469515-B2
29,2464929-B,2468698-B2,2470260-B
30,2465243-B2,2469007-B2,2471072-B2
31,2465263-B2,2469023-B4,2471237-B2
32,2465339-B2,2469074-B2,2471618-B3
33,2465396-B2,2469505-B2,2471885-B2
34,2465636-B,2469693-B,2471921-B2
35,2465639-B2,2469916-B2,2473218-B2
36,2465643-B3,2469927-B2,2473218-B3
37,2465795-B4,2470657-B3,2473272-B3
38,2465827-B5,2471884-B2,2473549-B
39,2465843-B2,2473545-B2,2473621-B3
40,2465989-B2,2474337-B3,2473623-B2
41,2466152-B2,2474612-B2,2474500-B2
42,2466159-B2,2474704-B2,2474631-B3
43,2466285-B,2475184-B2,2474739-B2
44,2466581-B1,2476242-B2,2475349-B2
45,2466584-B,2476358-B2,2476984-B2
46,2466703-B4,2476376-B2,2477118-B3
47,2466718-B,2476681-B2,2477274-B3
48,2466866-B,2477949-B2,2477299-B2
49,2466884-B2,2478091-B4,2477668-B3
50,2466893-B2,2482607-B,2477814-B5
51,2466898-B2,2482992-B,2481703-B2
52,2466899-B2,2483055-B2,2482055-B2
